Display Name,Internal Name
Predatory Instincts,AttackSpeedOnCrit
Bandolier,Bandolier
Ghor's Tome,BonusGoldPackOnKill
Ukulele,ChainLightning
Death Mark,DeathMark
War Horn,EnergizedOnEquipmentUse
Fuel Cell,EquipmentMagazine
Old Guillotine,ExecuteLowHealthElite
Will-o'-the-wisp,ExplodeOnDeath
Hopoo Feather,Feather
Kjaro's Band,FireRing
Harvester's Scythe,HealOnCrit
Runald's Band,IceRing
Infusion,Infusion
Wax Quail,JumpBoost
AtG Missile Mk. 1,Missile
Old War Stealthkit,Phasing
Leeching Seed,Seed
Chronobauble,SlowOnHit
Rose Buckler,SprintArmor
Red Whip,SprintOutOfCombat
Squid Polyp,Squid
Lepton Daisy,TPHealingNova
Razorwire,Thorns
Berzerker's Pauldron,WarCryOnMultiKill
Item Scrap Green,ScrapGreen
